geoid,median_income,no_vehicle,commuters_total,commuters_transit,transit_share
36005036502,31729.0,537.0,872.0,515.0,0.5905963302752294
36005036700,,367.0,930.0,646.0,0.6946236559139785
36005036800,66563.0,233.0,815.0,351.0,0.4306748466257669
36005036901,25469.0,523.0,714.0,449.0,0.6288515406162465
36005036902,15000.0,626.0,583.0,301.0,0.516295025728988
36005037000,82039.0,220.0,1132.0,416.0,0.3674911660777385
36005037100,21250.0,1353.0,1312.0,799.0,0.6089939024390244
36005037200,68030.0,365.0,1062.0,499.0,0.4698681732580038
36005037300,50232.0,1554.0,2179.0,1316.0,0.6039467645709041
36005037400,36398.0,1005.0,1317.0,739.0,0.5611237661351557
36005037504,29330.0,987.0,1350.0,841.0,0.6229629629629629
36005037600,69345.0,270.0,872.0,317.0,0.36353211009174313
36005037800,43333.0,545.0,1041.0,623.0,0.5984630163304515
36005037900,35431.0,1459.0,2034.0,1325.0,0.6514257620452311
36005038000,41942.0,1337.0,1601.0,895.0,0.5590256089943785
36005038100,36722.0,1834.0,2620.0,2159.0,0.8240458015267176
36005038200,73077.0,345.0,1101.0,384.0,0.34877384196185285
36005038301,47394.0,1137.0,2372.0,1446.0,0.6096121416526138
36005038303,26837.0,974.0,1307.0,1031.0,0.7888293802601377
36005038304,20625.0,640.0,525.0,277.0,0.5276190476190477
36005038500,24605.0,1317.0,1288.0,857.0,0.6653726708074534
36005038600,62340.0,1626.0,3044.0,1260.0,0.41392904073587383
36005038700,42174.0,1120.0,1440.0,865.0,0.6006944444444444
36005038800,63341.0,279.0,1248.0,642.0,0.5144230769230769
36005038900,42574.0,1232.0,2216.0,1084.0,0.4891696750902527
36005039000,59758.0,399.0,1254.0,705.0,0.562200956937799
36005039100,31769.0,1933.0,3457.0,1630.0,0.4715070870697136
36005039200,61458.0,290.0,852.0,444.0,0.5211267605633803
36005039300,31107.0,2369.0,2887.0,1968.0,0.6816764807758919
36005039400,62712.0,983.0,1830.0,1260.0,0.6885245901639344
36005039500,23194.0,1372.0,1528.0,1110.0,0.7264397905759162
36005039600,41547.0,958.0,1630.0,863.0,0.5294478527607362
